date,ticker,close,volume,pct_1d,pct_5d,sma20,rsi14,quality,action,recommendation
2026-08-24,HLLY,3.0,1183400,-2.913,-1.639,2.9855,57.14,watch,WATCH,Watch
2026-08-24,CYH,3.01,685000,0.0,2.034,2.9175,54.1,watch,WATCH,Watch
2026-08-24,SABR,2.26,3289300,7.619,4.872,2.0652,57.45,watch,WATCH,Watch
2026-08-24,AMPY,4.78,808800,-0.83,-0.83,4.337,72.73,watch,WATCH,Watch
2026-08-24,ABUS,5.2,18139900,-0.192,10.403,4.6415,73.78,watch,WATCH,Watch
2026-08-26,VRRM,4.48,43295,1.129,-3.656,4.865,28.08,watch,WATCH,Watch
2026-08-26,UWMC,1.48,245170,-1.987,-0.671,1.5595,64.89,watch,WATCH,Watch
2026-08-26,TYGO,1.07,49073,1.905,-6.14,1.318,27.66,watch,WATCH,Watch
2026-08-26,SITC,2.97,49501,-0.336,-1.98,3.1865,35.71,watch,WATCH,Watch
2026-08-26,AISP,2.22,22003,-1.333,7.767,2.0057,69.23,watch,WATCH,Watch
2026-08-26,NAGE,3.25,12541,-0.612,2.524,3.173,69.09,watch,WATCH,Watch
2026-08-26,AREC,2.695,163898,-0.919,2.083,2.5263,61.97,watch,WATCH,Watch
2026-08-26,GORO,3.64,203570,-5.943,28.622,2.713,81.67,watch,WATCH,Watch
2026-08-26,SPRO,1.22,8221,-0.813,-0.813,1.2188,41.07,watch,WATCH,Watch
2026-08-26,VFF,2.835,23700,-1.563,8.621,2.3832,84.72,watch,WATCH,Watch
2026-08-26,ALTO,3.961,76959,-0.727,-5.465,4.3845,29.43,watch,WATCH,Watch
2026-08-26,MDXG,4.294,24036,-1.06,-3.506,4.2737,54.89,watch,WATCH,Watch
2026-08-26,GDRX,3.46,10473,-0.432,-2.26,3.5103,36.02,watch,WATCH,Watch
2026-08-26,ARKO,4.67,14379,0.0,-0.638,5.6015,15.89,watch,WATCH,Watch
2026-08-26,TBLA,3.68,155339,-0.541,-4.663,4.1353,34.21,watch,WATCH,Watch
2026-08-26,HLLY,2.875,10477,-0.519,-8.439,2.9952,43.72,watch,WATCH,Watch
2026-08-26,CYH,2.98,36471,0.337,2.055,2.94,52.31,watch,WATCH,Watch
2026-08-26,SABR,2.24,50938,-0.885,6.161,2.1057,50.0,watch,WATCH,Watch
2026-08-26,AMPY,4.5945,13910,-1.617,-4.081,4.4257,65.63,watch,WATCH,Watch
2026-08-26,ABUS,5.21,50073,0.192,4.618,4.727,74.45,watch,WATCH,Watch
2026-08-27,VRRM,4.41,2476108,-0.226,-5.365,4.8255,29.75,watch,WATCH,Watch
2026-08-27,UWMC,1.48,11974561,1.37,4.225,1.5395,61.11,watch,WATCH,Watch
